gfr,pe,year,t,tsq,pe_1,pe_2,pe_3,pe_4,pill,ww2,tcu,cgfr,cpe,cpe_1,cpe_2,cpe_3,cpe_4,gfr_1,cgfr_1,cgfr_2,cgfr_3,cgfr_4,gfr_2
91.5,137.7,1942,30,900,102.49,53.330002,36.529999,32.220001,0,1,27000,8.0999985,35.209999,49.159996,16.800003,4.3099976,-10.57,83.400002,3.5,2.3000031,-1.5,2,79.900002
94.300003,141.2,1943,31,961,137.7,102.49,53.330002,36.529999,0,1,29791,2.8000031,3.5,35.209999,49.159996,16.800003,4.3099976,91.5,8.0999985,3.5,2.3000031,-1.5,83.400002
88.400002,243.83,1944,32,1024,141.2,137.7,102.49,53.330002,0,1,32768,-5.9000015,102.63,3.5,35.209999,49.159996,16.800003,94.300003,2.8000031,8.0999985,3.5,2.3000031,91.5
85.900002,238.39999,1945,33,1089,243.83,141.2,137.7,102.49,0,1,35937,-2.5,-5.4300079,102.63,3.5,35.209999,49.159996,88.400002,-5.9000015,2.8000031,8.0999985,3.5,94.300003
101.9,193.16,1946,34,1156,238.39999,243.83,141.2,137.7,0,0,39304,16,-45.23999,-5.4300079,102.63,3.5,35.209999,85.900002,-2.5,-5.9000015,2.8000031,8.0999985,88.400002
113.3,168.89999,1947,35,1225,193.16,238.39999,243.83,141.2,0,0,42875,11.400002,-24.26001,-45.23999,-5.4300079,102.63,3.5,101.9,16,-2.5,-5.9000015,2.8000031,85.900002
107.3,149.78999,1948,36,1296,168.89999,193.16,238.39999,243.83,0,0,46656,-6,-19.110001,-24.26001,-45.23999,-5.4300079,102.63,113.3,11.400002,16,-2.5,-5.9000015,101.9
107.1,147.05,1949,37,1369,149.78999,168.89999,193.16,238.39999,0,0,50653,-.20000458,-2.7399902,-19.110001,-24.26001,-45.23999,-5.4300079,107.3,-6,11.400002,16,-2.5,113.3
106.2,163.10001,1950,38,1444,147.05,149.78999,168.89999,193.16,0,0,54872,-.90000153,16.050003,-2.7399902,-19.110001,-24.26001,-45.23999,107.1,-.20000458,-6,11.400002,16,107.3
111.5,178.14,1951,39,1521,163.10001,147.05,149.78999,168.89999,0,0,59319,5.3000031,15.039993,16.050003,-2.7399902,-19.110001,-24.26001,106.2,-.90000153,-.20000458,-6,11.400002,107.1
113.9,189.42999,1952,40,1600,178.14,163.10001,147.05,149.78999,0,0,64000,2.4000015,11.289993,15.039993,16.050003,-2.7399902,-19.110001,111.5,5.3000031,-.90000153,-.20000458,-6,106.2
115.2,186.50999,1953,41,1681,189.42999,178.14,163.10001,147.05,0,0,68921,1.2999954,-2.9199982,11.289993,15.039993,16.050003,-2.7399902,113.9,2.4000015,5.3000031,-.90000153,-.20000458,111.5
118.1,165.46001,1954,42,1764,186.50999,189.42999,178.14,163.10001,0,0,74088,2.9000015,-21.049988,-2.9199982,11.289993,15.039993,16.050003,115.2,1.2999954,2.4000015,5.3000031,-.90000153,113.9
118.5,170.57001,1955,43,1849,165.46001,186.50999,189.42999,178.14,0,0,79507,.40000153,5.1100006,-21.049988,-2.9199982,11.289993,15.039993,118.1,2.9000015,1.2999954,2.4000015,5.3000031,115.2
121.2,171,1956,44,1936,170.57001,165.46001,186.50999,189.42999,0,0,85184,2.6999969,.42999268,5.1100006,-21.049988,-2.9199982,11.289993,118.5,.40000153,2.9000015,1.2999954,2.4000015,118.1
122.9,165.12,1957,45,2025,171,170.57001,165.46001,186.50999,0,0,91125,1.7000046,-5.8800049,.42999268,5.1100006,-21.049988,-2.9199982,121.2,2.6999969,.40000153,2.9000015,1.2999954,118.5
120.2,158.66,1958,46,2116,165.12,171,170.57001,165.46001,0,0,97336,-2.7000046,-6.4599915,-5.8800049,.42999268,5.1100006,-21.049988,122.9,1.7000046,2.6999969,.40000153,2.9000015,121.2
118.8,162.19,1959,47,2209,158.66,165.12,171,170.57001,0,0,103823,-1.3999939,3.5299988,-6.4599915,-5.8800049,.42999268,5.1100006,120.2,-2.7000046,1.7000046,2.6999969,.40000153,122.9
118,158.28,1960,48,2304,162.19,158.66,165.12,171,0,0,110592,-.80000305,-3.9100037,3.5299988,-6.4599915,-5.8800049,.42999268,118.8,-1.3999939,-2.7000046,1.7000046,2.6999969,120.2
117.2,160.71001,1961,49,2401,158.28,162.19,158.66,165.12,0,0,117649,-.80000305,2.4300079,-3.9100037,3.5299988,-6.4599915,-5.8800049,118,-.80000305,-1.3999939,-2.7000046,1.7000046,118.8
112.2,161.58,1962,50,2500,160.71001,158.28,162.19,158.66,0,0,125000,-5,.86999512,2.4300079,-3.9100037,3.5299988,-6.4599915,117.2,-.80000305,-.80000305,-1.3999939,-2.7000046,118
108.5,161.61,1963,51,2601,161.58,160.71001,158.28,162.19,1,0,132651,-3.6999969,.029998779,.86999512,2.4300079,-3.9100037,3.5299988,112.2,-5,-.80000305,-.80000305,-1.3999939,117.2
105,142.73,1964,52,2704,161.61,161.58,160.71001,158.28,1,0,140608,-3.5,-18.880005,.029998779,.86999512,2.4300079,-3.9100037,108.5,-3.6999969,-5,-.80000305,-.80000305,112.2
96.599998,134.60001,1965,53,2809,142.73,161.61,161.58,160.71001,1,0,148877,-8.4000015,-8.1299896,-18.880005,.029998779,.86999512,2.4300079,105,-3.5,-3.6999969,-5,-.80000305,108.5
91.300003,133.94,1966,54,2916,134.60001,142.73,161.61,161.58,1,0,157464,-5.2999954,-.66000366,-8.1299896,-18.880005,.029998779,.86999512,96.599998,-8.4000015,-3.5,-3.6999969,-5,105
87.599998,133.8,1967,55,3025,133.94,134.60001,142.73,161.61,1,0,166375,-3.7000046,-.13999939,-.66000366,-8.1299896,-18.880005,.029998779,91.300003,-5.2999954,-8.4000015,-3.5,-3.6999969,96.599998
85.699997,145.10001,1968,56,3136,133.8,133.94,134.60001,142.73,1,0,175616,-1.9000015,11.300003,-.13999939,-.66000366,-8.1299896,-18.880005,87.599998,-3.7000046,-5.2999954,-8.4000015,-3.5,91.300003
86.5,142.62,1969,57,3249,145.10001,133.8,133.94,134.60001,1,0,185193,.80000305,-2.480011,11.300003,-.13999939,-.66000366,-8.1299896,85.699997,-1.9000015,-3.7000046,-5.2999954,-8.4000015,87.599998
87.900002,130.58,1970,58,3364,142.62,145.10001,133.8,133.94,1,0,195112,1.4000015,-12.039993,-2.480011,11.300003,-.13999939,-.66000366,86.5,.80000305,-1.9000015,-3.7000046,-5.2999954,85.699997
81.800003,132.99001,1971,59,3481,130.58,142.62,145.10001,133.8,1,0,205379,-6.0999985,2.4100037,-12.039993,-2.480011,11.300003,-.13999939,87.900002,1.4000015,.80000305,-1.9000015,-3.7000046,86.5
73.400002,144.85001,1972,60,3600,132.99001,130.58,142.62,145.10001,1,0,216000,-8.4000015,11.860001,2.4100037,-12.039993,-2.480011,11.300003,81.800003,-6.0999985,1.4000015,.80000305,-1.9000015,87.900002
69.199997,140.87,1973,61,3721,144.85001,132.99001,130.58,142.62,1,0,226981,-4.2000046,-3.980011,11.860001,2.4100037,-12.039993,-2.480011,73.400002,-8.4000015,-6.0999985,1.4000015,.80000305,81.800003
68.400002,130.49001,1974,62,3844,140.87,144.85001,132.99001,130.58,1,0,238328,-.79999542,-10.37999,-3.980011,11.860001,2.4100037,-12.039993,69.199997,-4.2000046,-8.4000015,-6.0999985,1.4000015,73.400002
66,122.36,1975,63,3969,130.49001,140.87,144.85001,132.99001,1,0,250047,-2.4000015,-8.1300049,-10.37999,-3.980011,11.860001,2.4100037,68.400002,-.79999542,-4.2000046,-8.4000015,-6.0999985,69.199997
65.800003,120.08,1976,64,4096,122.36,130.49001,140.87,144.85001,1,0,262144,-.19999695,-2.2799988,-8.1300049,-10.37999,-3.980011,11.860001,66,-2.4000015,-.79999542,-4.2000046,-8.4000015,68.400002
66.800003,116.11,1977,65,4225,120.08,122.36,130.49001,140.87,1,0,274625,1,-3.9700012,-2.2799988,-8.1300049,-10.37999,-3.980011,65.800003,-.19999695,-2.4000015,-.79999542,-4.2000046,66
65.5,118.98,1978,66,4356,116.11,120.08,122.36,130.49001,1,0,287496,-1.3000031,2.8700027,-3.9700012,-2.2799988,-8.1300049,-10.37999,66.800003,1,-.19999695,-2.4000015,-.79999542,65.800003
67.199997,132.92999,1979,67,4489,118.98,116.11,120.08,122.36,1,0,300763,1.6999969,13.949989,2.8700027,-3.9700012,-2.2799988,-8.1300049,65.5,-1.3000031,1,-.19999695,-2.4000015,66.800003
68.400002,123.17,1980,68,4624,132.92999,118.98,116.11,120.08,1,0,314432,1.2000046,-9.7599945,13.949989,2.8700027,-3.9700012,-2.2799988,67.199997,1.6999969,-1.3000031,1,-.19999695,65.5
67.400002,119.31,1981,69,4761,123.17,132.92999,118.98,116.11,1,0,328509,-1,-3.8600006,-9.7599945,13.949989,2.8700027,-3.9700012,68.400002,1.2000046,1.6999969,-1.3000031,1,67.199997
67.300003,102.04,1982,70,4900,119.31,123.17,132.92999,118.98,1,0,343000,-.099998474,-17.269997,-3.8600006,-9.7599945,13.949989,2.8700027,67.400002,-1,1.2000046,1.6999969,-1.3000031,68.400002
65.800003,92.489998,1983,71,5041,102.04,119.31,123.17,132.92999,1,0,357911,-1.5,-9.5500031,-17.269997,-3.8600006,-9.7599945,13.949989,67.300003,-.099998474,-1,1.2000046,1.6999969,67.400002
65.400002,83.900002,1984,72,5184,92.489998,102.04,119.31,123.17,1,0,373248,-.40000153,-8.5899963,-9.5500031,-17.269997,-3.8600006,-9.7599945,65.800003,-1.5,-.099998474,-1,1.2000046,67.300003
